Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,ConfWL,ConfSOS,NCWL,RoadWL,NETSOS,NETNCSOS,WABRk,WAB,NCWABRk,NCWAB,Q1,Q2,Q3,Q4
Michigan,Big Ten,1,1,2,86,14-1,4-1,101,10-0,3-0,17,12,7,4.58,1,4.26,4-0,5-1,3-0,2-0
Arizona,Big 12,2,2,29,132,16-0,3-0,74,13-0,3-0,41,54,3,5.29,2,4.16,5-0,4-0,0-0,7-0
Iowa St.,Big 12,3,3,99,160,16-0,3-0,71,13-0,2-0,62,90,6,4.80,5,3.62,5-0,4-0,0-0,7-0
Duke,ACC,4,4,27,131,15-1,4-0,59,11-1,4-0,8,28,4,5.21,6,3.42,7-1,1-0,2-0,5-0
Purdue,Big Ten,5,5,7,106,15-1,5-0,93,10-1,3-0,31,29,8,4.50,9,3.03,4-1,2-0,6-0,3-0
Gonzaga,WCC,6,6,63,145,17-1,5-0,163,12-1,3-0,84,45,10,3.99,7,3.36,3-1,4-0,5-0,5-0
Vanderbilt,SEC,7,7,46,139,16-0,3-0,46,13-0,4-0,43,86,5,5.12,4,3.64,5-0,4-0,2-0,5-0
UConn,Big East,8,8,16,124,16-1,6-0,103,10-1,4-0,16,10,2,5.35,3,3.83,4-1,5-0,3-0,4-0
BYU,Big 12,9,9,24,130,15-1,3-0,89,12-1,2-0,42,51,9,4.16,8,3.23,5-1,2-0,3-0,5-0
Illinois,Big Ten,10,10,29,132,12-3,3-1,51,9-2,2-0,20,52,17,2.48,18,1.57,3-3,2-0,0-0,7-0
Nebraska,Big Ten,11,11,46,139,16-0,5-0,8,11-0,3-0,33,255,1,5.46,16,1.85,5-0,4-0,1-0,6-0
Houston,Big 12,12,14,42,138,15-1,3-0,38,12-1,2-0,55,122,11,3.96,13,2.29,4-1,3-0,3-0,5-0
Utah St.,Mountain West,13,16,86,155,13-1,5-0,131,8-1,4-1,199,201,26,1.66,34,0.81,0-1,3-0,7-0,3-0
Michigan St.,Big Ten,14,13,10,116,14-2,4-1,45,10-1,1-1,23,74,12,3.77,14,2.20,3-2,4-0,1-0,6-0
Florida,SEC,15,19,10,116,11-5,2-1,36,9-4,0-2,6,26,27,1.62,30,0.92,3-4,2-1,1-0,5-0
Virginia,ACC,16,20,96,159,14-2,3-1,55,11-1,2-1,116,261,20,1.86,28,0.99,2-1,4-1,1-0,7-0
Louisville,ACC,17,15,59,144,12-4,2-2,47,10-2,1-3,39,89,30,1.30,22,1.35,2-4,2-0,1-0,7-0
Alabama,SEC,18,12,4,92,11-5,1-2,22,10-3,1-1,1,6,13,2.70,10,2.87,3-4,2-1,4-0,2-0
Iowa,Big Ten,19,18,141,172,12-3,2-2,61,10-1,0-3,130,275,42,0.51,35,0.75,0-2,3-1,1-0,8-0
Texas Tech,Big 12,20,21,5,94,12-4,2-1,34,10-3,1-2,4,25,14,2.67,15,1.94,3-4,2-0,4-0,3-0
Kansas,Big 12,21,17,3,90,11-5,1-2,39,10-3,1-3,3,14,19,2.01,11,2.36,2-5,3-0,2-0,4-0
North Carolina,ACC,22,22,59,144,14-2,2-1,69,12-1,1-1,77,118,16,2.53,12,2.31,3-2,1-0,4-0,6-0
Saint Louis,Atlantic 10,23,24,246,198,14-1,3-0,115,11-1,3-0,291,326,35,1.11,44,0.45,1-0,1-1,4-0,8-0
SMU,ACC,24,27,8,111,12-4,1-2,2,11-2,1-3,24,115,25,1.74,23,1.33,2-4,3-0,2-0,5-0
Georgia,SEC,25,28,199,184,14-2,2-1,21,12-1,2-1,155,323,28,1.42,40,0.59,0-2,4-0,2-0,8-0
St. John's (NY),Big East,26,31,6,102,11-5,4-1,80,7-4,3-0,28,34,40,0.66,56,-0.10,3-4,0-0,5-1,3-0
Tennessee,SEC,27,23,46,139,11-5,1-2,14,10-3,0-3,13,58,36,1.02,27,1.01,2-5,1-0,2-0,6-0
Clemson,ACC,28,32,58,143,14-3,4-0,49,10-3,3-2,38,81,15,2.65,36,0.71,4-2,3-0,2-1,5-0
Villanova,Big East,29,29,29,132,13-3,4-1,72,9-2,4-1,60,111,21,1.83,32,0.87,3-2,0-1,5-0,5-0
Saint Mary's (CA),WCC,30,26,54,141,15-2,5-0,206,10-2,3-0,196,152,31,1.24,33,0.81,0-1,2-1,9-0,4-0
NC State,ACC,31,36,21,129,12-5,3-1,85,9-4,2-1,64,80,49,0.07,61,-0.29,0-5,5-0,3-0,4-0
Arkansas,SEC,32,25,36,134,12-4,2-1,33,10-3,1-2,11,43,18,2.14,21,1.38,3-4,1-0,1-0,7-0
Miami (FL),ACC,33,33,226,191,14-2,3-0,104,11-2,2-0,180,219,33,1.19,45,0.44,1-2,1-0,4-0,8-0
Kentucky,SEC,34,34,51,140,10-6,1-2,62,9-4,0-2,18,32,51,-0.06,38,0.64,1-5,1-0,1-1,7-0
Indiana,Big Ten,35,30,91,157,12-4,3-2,77,9-2,1-2,114,218,53,-0.11,50,0.07,0-3,2-1,3-0,7-0
Auburn,SEC,36,38,12,117,10-6,1-2,31,9-4,0-2,2,13,34,1.16,20,1.38,1-5,2-1,1-0,6-0
UCF,Big 12,37,35,37,135,12-2,1-1,26,11-1,1-1,95,184,24,1.74,19,1.54,2-2,1-0,5-0,4-0
Ohio St.,Big Ten,38,37,75,150,11-4,3-2,43,8-2,3-1,71,244,46,0.37,59,-0.23,1-3,3-1,1-0,6-0
Seton Hall,Big East,39,39,86,155,14-2,4-1,79,10-1,4-0,127,235,22,1.76,29,0.98,2-2,2-0,3-0,7-0
Wisconsin,Big Ten,40,53,34,133,11-5,3-2,11,8-3,1-1,14,146,37,1.02,66,-0.40,1-5,3-0,1-0,6-0
New Mexico,Mountain West,41,45,96,159,12-3,4-1,113,8-2,3-2,120,135,41,0.58,42,0.45,1-1,3-1,2-1,6-0
TCU,Big 12,42,43,127,168,11-5,1-2,10,10-3,1-1,53,175,50,-0.04,57,-0.16,2-3,1-1,1-0,7-1
