Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,ConfWL,ConfSOS,NCWL,RoadWL,NETSOS,NETNCSOS,WABRk,WAB,NCWABRk,NCWAB,Q1,Q2,Q3,Q4
Michigan,Big Ten,1,1,2,91,14-0,4-0,119,10-0,3-0,21,13,2,4.97,1,4.13,4-0,5-0,3-0,2-0
Arizona,Big 12,2,2,35,138,15-0,2-0,109,13-0,2-0,54,54,6,4.55,2,4.08,4-0,3-0,1-0,7-0
Iowa St.,Big 12,3,3,125,167,15-0,2-0,58,13-0,2-0,59,92,7,4.46,5,3.58,5-0,2-0,1-0,7-0
Duke,ACC,4,4,29,134,14-1,3-0,63,11-1,4-0,13,28,4,4.60,6,3.38,5-1,2-0,1-0,6-0
Purdue,Big Ten,5,5,6,108,14-1,4-0,86,10-1,3-0,24,29,8,4.20,9,3.00,4-1,2-0,6-0,2-0
Gonzaga,WCC,6,6,59,145,17-1,5-0,165,12-1,3-0,81,43,9,3.96,7,3.37,3-1,4-0,5-0,5-0
Vanderbilt,SEC,7,7,60,146,15-0,2-0,32,13-0,4-0,41,86,3,4.79,4,3.62,5-0,3-0,1-0,6-0
UConn,Big East,8,8,15,126,15-1,5-0,100,10-1,4-0,10,8,1,5.13,3,3.81,4-1,5-0,2-0,4-0
BYU,Big 12,9,9,24,132,14-1,2-0,76,12-1,1-0,43,55,11,3.76,8,3.06,4-1,2-0,3-0,5-0
Illinois,Big Ten,10,10,17,127,12-3,3-1,55,9-2,2-0,14,41,14,2.57,18,1.74,3-3,2-0,0-0,7-0
Nebraska,Big Ten,11,11,52,143,15-0,4-0,12,11-0,2-0,50,251,5,4.59,16,1.85,4-0,4-0,0-0,7-0
Alabama,SEC,12,12,4,94,11-4,1-1,6,10-3,1-1,1,6,13,3.28,10,2.82,2-4,3-0,4-0,2-0
Michigan St.,Big Ten,13,13,8,112,14-2,4-1,49,10-1,1-1,17,63,10,3.78,14,2.28,4-2,3-0,2-0,5-0
Houston,Big 12,14,14,55,144,14-1,2-0,46,12-1,1-0,66,113,12,3.32,13,2.29,3-1,3-0,3-0,5-0
Louisville,ACC,15,15,33,137,11-4,1-2,16,10-2,1-3,20,80,26,1.37,20,1.40,2-4,2-0,1-0,6-0
Utah St.,Mountain West,16,16,107,161,12-1,4-0,193,8-1,3-1,245,205,30,1.14,32,0.77,0-0,2-1,5-0,5-0
